\8 Market St, Pittsburgh, PA 15222, USA\,40.4380579,-80.0043106,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
\307 Shiloh St, Pittsburgh, PA 15211, USA\,40.4289912,-80.0071661,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
\814 Madison Ave, Pittsburgh, PA 15212, USA\,40.4552897,-79.996931,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
\1311 E Carson St, Pittsburgh, PA 15203, USA\,40.428958,-79.9848242,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
\1313 Kennedy Ave, Duquesne, PA 15110, USA\,40.367021,-79.856197,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
\1613 Brownsville Rd, Pittsburgh, PA 15210, USA\,40.3993734,-79.9887811,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
\2126 E Carson St, Pittsburgh, PA 15203, USA\,40.428173,-79.975133,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
\2132 E Carson St, Pittsburgh, PA 15203, USA\,40.4282138,-79.9748773,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
\218 W 7th Ave, Tarentum, PA 15084, USA\,40.60013,-79.761543,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
\2002 Smallman St, Pittsburgh, PA 15222, USA\,40.4516916,-79.9844073,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
\3420 Universal Rd, Pittsburgh, PA 15235, USA\,40.489679,-79.783121,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
\2512 E Carson St, Pittsburgh, PA 15203, USA\,40.42746,-79.969291,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
\6700 Saltsburg Rd, Pittsburgh, PA 15235, USA\,40.477851,-79.805051,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
\1020 Washington Pike, Bridgeville, PA 15017, USA\,40.3660233,-80.1063555,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
\424 Walnut St, Sewickley, PA 15143, USA\,40.5405874,-80.1820105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
\9566 Perry Hwy, Pittsburgh, PA 15237, USA\,40.5803829,-80.0377718,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
\5801 Ellsworth Ave, Pittsburgh, PA 15232, USA\,40.4563651,-79.9307593,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
\320 Waddell Ave, Clairton, PA 15025, USA\,40.293041,-79.882518,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
\64 Bridge St, Pittsburgh, PA 15223, USA\,40.4964862,-79.9417709,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
\941 Liberty Ave, Pittsburgh, PA 15222, USA\,40.4435542,-79.9966108,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
\1001 Washington Ave, Carnegie, PA 15106, USA\,40.3987685,-80.0822718,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
\1400 Fifth Ave, Pittsburgh, PA 15219, USA\,40.4383706,-79.9863224,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
\226 Meyran Ave, Pittsburgh, PA 15213, USA\,40.439681,-79.957556,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
\300 E Waterfront Dr, Homestead, PA 15120, USA\,40.4117908,-79.9121671,\300 W Waterfront Dr, West Homestead, PA 15120, USA\,40.4065562,-79.9184192,,,,,,,,,,,,,,,,,,,,,,,,
\2440 Noblestown Rd, Pittsburgh, PA 15205, USA\,40.427507,-80.058263,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
\2440 Noblestown Rd, Pittsburgh, PA 15205, USA\,40.427507,-80.058263,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
\2108 E Carson St, Pittsburgh, PA 15203, USA\,40.4282761,-79.9759045,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
\716 Broadway Ave, McKees Rocks, PA 15136, USA\,40.4728444,-80.0737637,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
\7535 Roslyn St, Pittsburgh, PA 15218, USA\,40.4199886,-79.8851392,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
\4092 Gibsonia Rd, Gibsonia, PA 15044, USA\,40.6348716,-79.9410309,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
