Name	Address	Lat	Long
 Pizzaiolo Primo	8 Market  Street Pittsburgh, PA 15222	40.4380579	-80.0043106
 Scarpaci&#39;s	307 Shiloh St Pittsburgh, PA 15211	40.4289912	-80.0071661
 Verdetto&#39;s Bar &amp; Restaurant	814 Madison Ave Pittsburgh, PA 15212	40.4552897	-79.996931
1311	1311 E Carson St Pittsburgh, PA 15203	40.428958	-79.9848242
1313 Bar	1313 Kennedy  Avenue Duquesne, PA 15110	40.367021	-79.856197
1613 Saloon	1613 Brownsville Rd Pittsburgh, PA 15210	40.3993734	-79.9887811
19th Hole Pub &amp; Grill	10150 Kummer  Road Allison Park, PA 15101		
2126 East Carson St Building	2126 Carson Street Pittsburgh, PA 15203	40.428173	-79.975133
2132 E Carson Bar &amp; Restaurant	2132 Carson Street Pittsburgh, PA 15203	40.4282138	-79.9748773
218 Bar &amp; Grill	218 7th Avenue Tarentum, PA 15084	40.60013	-79.761543
21st Street Coffee &amp; Tea	2002 Smallman Street Pittsburgh, PA 15222	40.4516916	-79.9844073
235 Tavern 	3420 Universal  Road Pittsburgh, PA 15235	40.489679	-79.783121
2512 East Carson St	2512 Carson  Street Pittsburgh, PA 15203	40.42746	-79.969291
3 Lakes Golf Course 19th Hole	6700 Saltsburg Road Pittsburgh, PA 15235	40.477851	-79.805051
31 Sports Bar Grille	1020 Washington  Pike Bridgeville, PA 15017	40.3660233	-80.1063555
424 Walnut	424 Walnut St Sewickley, PA 15143	40.5405874	-80.1820105
5 Fools	9566 Perry Hwy Pittsburgh, PA 15237	40.5803829	-80.0377718
5801 Video Lounge and Cafe	5801 Ellsworth  Avenue Pittsburgh, PA 15232	40.4563651	-79.9307593
6&#39;s Grill	320 Waddell Ave Clairton, PA 15025	40.293041	-79.882518
64 Bridge St	64 Bridge  Street Pittsburgh, PA 15223	40.4964862	-79.9417709
941 Saloon	941 Liberty Avenue Pittsburgh, PA 15222	40.4435542	-79.9966108
99 Bottles	1001 Washington Avenue Carnegie, PA 15106	40.3987685	-80.0822718
AD&#39;S Pittsburgh Cafe	226 Meyran  Avenue Pittsburgh, PA 15213	40.439681	-79.957556
AMC Theaters Loews Waterfront 22	300 Waterfront  Drive Homestead, PA 15120	40.4117908	-79.9121671
AMF Noble Manor Lanes	2440 Noblestown Rd Pittsburgh, PA 15205	40.427507	-80.058263
AMF Noble Manor Lanes Snack Shop	2440 Noblestown Rd Pittsburgh, PA 15205	40.427507	-80.058263
Acacia	2108 E Carson Street Pittsburgh, PA 15203	40.4282761	-79.9759045
Ace Tavern	716 Broadway Ave Mc Kees Rocks, PA 15136	40.4728444	-80.0737637
Acorn Club	7535 Roslyn St Pittsburgh, PA 15218	40.4199886	-79.8851392
Adrian&#39;s Pizza	4092 Gibsonia  Road Gibsonia, PA 15044	40.6348716	-79.9410309
