 Pizzaiolo Primo,8,Market  Street,Pittsburgh,PA,15222,Pittsburgh-101,Chain Restaurant with Liquor,
 Scarpaci&#39;s,307,Shiloh St,Pittsburgh,PA,15211,Pittsburgh-119,Restaurant with Liquor,
 Verdetto&#39;s Bar &amp; Restaurant,814,Madison Ave,Pittsburgh,PA,15212,Pittsburgh-123,Restaurant with Liquor,
1311,1311,E Carson St,Pittsburgh,PA,15203,Pittsburgh-117,Restaurant with Liquor,
1313 Bar,1313,Kennedy  Avenue,Duquesne,PA,15110,Duquesne,Restaurant with Liquor,
1613 Saloon,1613,Brownsville Rd,Pittsburgh,PA,15210,Pittsburgh-129,Restaurant with Liquor,
19th Hole Pub &amp; Grill,10150,Kummer  Road,Allison Park,PA,15101,McCandless,Restaurant with Liquor,
2126 East Carson St Building,2126,Carson Street,Pittsburgh,PA,15203,Pittsburgh-116,Restaurant with Liquor,
2132 E Carson Bar &amp; Restaurant,2132,Carson Street,Pittsburgh,PA,15203,Pittsburgh-116,Restaurant with Liquor,
218 Bar &amp; Grill,218,7th Avenue,Tarentum,PA,15084,Tarentum,Restaurant with Liquor,
21st Street Coffee &amp; Tea,2002,Smallman Street,Pittsburgh,PA,15222,Pittsburgh-102,Chain Restaurant with Liquor,
235 Tavern ,3420,Universal  Road,Pittsburgh,PA,15235,Plum,Restaurant with Liquor,
2512 East Carson St,2512,Carson  Street,Pittsburgh,PA,15203,Pittsburgh-116,Restaurant with Liquor,
3 Lakes Golf Course 19th Hole,6700,Saltsburg Road,Pittsburgh,PA,15235,Penn Hills,Restaurant with Liquor,
31 Sports Bar Grille,1020,Washington  Pike,Bridgeville,PA,15017,Collier,Restaurant with Liquor,
424 Walnut,424,Walnut St,Sewickley,PA,15143,Sewickley,Restaurant with Liquor,
5 Fools,9566,Perry Hwy,Pittsburgh,PA,15237,McCandless,Restaurant with Liquor,
5801 Video Lounge and Cafe,5801,Ellsworth  Avenue,Pittsburgh,PA,15232,Pittsburgh-107,Restaurant with Liquor,
6&#39;s Grill,320,Waddell Ave,Clairton,PA,15025,Clairton,Restaurant with Liquor,
64 Bridge St,64,Bridge  Street,Pittsburgh,PA,15223,Etna,Restaurant with Liquor,
941 Saloon,941,Liberty Avenue,Pittsburgh,PA,15222,Pittsburgh-102,Restaurant with Liquor,
99 Bottles,1001,Washington Avenue,Carnegie,PA,15106,Scott,Restaurant with Liquor,
A&#39;s 2&#39;s / Ace&#39;s &amp; Deuce&#39;s Lounge,1400,5th  Avenue,Pittsburgh,PA,15219,Pittsburgh-101,Restaurant with Liquor,
AD&#39;S Pittsburgh Cafe,226,Meyran  Avenue,Pittsburgh,PA,15213,Pittsburgh-104,Restaurant with Liquor,
AMC Theaters Loews Waterfront 22,300,Waterfront  Drive,Homestead,PA,15120,West Homestead,Chain Restaurant with Liquor,
AMF Noble Manor Lanes,2440,Noblestown Rd,Pittsburgh,PA,15205,Pittsburgh-128,Restaurant with Liquor,
AMF Noble Manor Lanes Snack Shop,2440,Noblestown Rd,Pittsburgh,PA,15205,Pittsburgh-128,Restaurant with Liquor,
Acacia,2108,E Carson Street,Pittsburgh,PA,15203,Pittsburgh-116,Restaurant with Liquor,
Ace Tavern,716,Broadway Ave,Mc Kees Rocks,PA,15136,Stowe,Restaurant with Liquor,
Acorn Club,7535,Roslyn St,Pittsburgh,PA,15218,Swissvale,Restaurant with Liquor,
Admiral&#39;s Club,&nbsp;,Pgh Intl Airport / AC-M,Pittsburgh,PA,15231,Findlay,Chain Restaurant with Liquor,
Adrian&#39;s Pizza,4092,Gibsonia  Road,Gibsonia,PA,15044,Richland,Restaurant with Liquor,
Aiello&#39;s Pizza,2112,Murray Avenue,Pittsburgh,PA,15217,Pittsburgh-114,Restaurant with Liquor,
Al&#39;s Cafe,435,McMurray Rd,Bethel Park,PA,15102,Bethel Park,Restaurant with Liquor,
Aladdin&#39;s Eatery,5878,Forbes Ave,Pittsburgh,PA,15217,Pittsburgh-114,Chain Restaurant with Liquor,
Aladdin&#39;s Eatery #17,630,Washington Rd,Pittsburgh,PA,15228,Mt Lebanon,Chain Restaurant with Liquor,
Albert&#39;s Lounge,2856,Broadway  Avenue,Pittsburgh,PA,15216,Dormont,Restaurant with Liquor,
Alexander&#39;s Italian Bistro,5104,Liberty  Avenue,Pittsburgh,PA,15224,Pittsburgh-108,Restaurant with Liquor,
